group,metric,factor,delta,n_same,n_diff,mean_same,mean_diff
tcga_10x_256,linear_cka,architecture (backbone),0.022814000655753675,6,9,0.6678473722629302,0.6450333716071766
tcga_10x_256,linear_cka,architecture (exact),nan,0,15,nan,nan
tcga_10x_256,kernel_cka,objective,0.0538952091038275,4,11,0.7170563769512599,0.6631611678474324
tcga_10x_256,kernel_cka,architecture (backbone),0.02296056780969502,6,9,0.69130956429427,0.668348996484575
tcga_10x_256,kernel_cka,architecture (exact),nan,0,15,nan,nan
tcga_10x_256,svcca,objective,0.04757457193229386,4,11,0.6084842209440007,0.5609096490117068
tcga_10x_256,svcca,architecture (backbone),0.10767643403450722,6,9,0.6382020619476895,0.5305256279131823
tcga_10x_256,svcca,architecture (exact),nan,0,15,nan,nan
tcga_10x_256,pwcca,objective,0.02945492708090236,4,11,0.6601753132974336,0.6307203862165313
tcga_10x_256,pwcca,architecture (backbone),0.061333201258618075,6,9,0.675374954193276,0.6140417529346579
tcga_10x_256,pwcca,architecture (exact),nan,0,15,nan,nan
tcga_10x_256,procrustes,objective,0.060159766754912525,4,11,0.6502994939435596,0.590139727188647
tcga_10x_256,procrustes,architecture (backbone),-0.013121364923019851,6,9,0.5983095127028119,0.6114308776258317
tcga_10x_256,procrustes,architecture (exact),nan,0,15,nan,nan
tcga_10x_256,cosine_rsa,objective,0.04226489317247906,4,11,0.6443232896036757,0.6020583964311966
tcga_10x_256,cosine_rsa,architecture (backbone),0.0038078425602932064,6,9,0.6156137401467002,0.611805897586407
tcga_10x_256,cosine_rsa,architecture (exact),nan,0,15,nan,nan
tcga_10x_256,distance_correlation,objective,0.03125202059671428,4,11,0.8477886722383405,0.8165366516416263
tcga_10x_256,distance_correlation,architecture (backbone),0.01372660136661219,6,9,0.8331064846207173,0.8193798832541052
tcga_10x_256,distance_correlation,architecture (exact),nan,0,15,nan,nan
tcga_10x_512,linear_cka,objective,nan,1,0,nan,nan
tcga_10x_512,linear_cka,architecture (backbone),nan,1,0,nan,nan
tcga_10x_512,linear_cka,architecture (exact),nan,0,1,nan,nan
tcga_10x_512,kernel_cka,objective,nan,1,0,nan,nan
tcga_10x_512,kernel_cka,architecture (backbone),nan,1,0,nan,nan
tcga_10x_512,kernel_cka,architecture (exact),nan,0,1,nan,nan
tcga_10x_512,svcca,objective,nan,1,0,nan,nan
tcga_10x_512,svcca,architecture (backbone),nan,1,0,nan,nan
tcga_10x_512,svcca,architecture (exact),nan,0,1,nan,nan
tcga_10x_512,pwcca,objective,nan,1,0,nan,nan
tcga_10x_512,pwcca,architecture (backbone),nan,1,0,nan,nan
tcga_10x_512,pwcca,architecture (exact),nan,0,1,nan,nan
tcga_10x_512,procrustes,objective,nan,1,0,nan,nan
tcga_10x_512,procrustes,architecture (backbone),nan,1,0,nan,nan
tcga_10x_512,procrustes,architecture (exact),nan,0,1,nan,nan
tcga_10x_512,cosine_rsa,objective,nan,1,0,nan,nan
tcga_10x_512,cosine_rsa,architecture (backbone),nan,1,0,nan,nan
tcga_10x_512,cosine_rsa,architecture (exact),nan,0,1,nan,nan
tcga_10x_512,distance_correlation,objective,nan,1,0,nan,nan
tcga_10x_512,distance_correlation,architecture (backbone),nan,1,0,nan,nan
tcga_10x_512,distance_correlation,architecture (exact),nan,0,1,nan,nan
tcga_20x_224,linear_cka,objective,nan,6,0,nan,nan
tcga_20x_224,linear_cka,architecture (backbone),nan,6,0,nan,nan
tcga_20x_224,linear_cka,architecture (exact),-0.19667667085902196,1,5,0.29490527785829507,0.49158194871731703
tcga_20x_224,kernel_cka,objective,nan,6,0,nan,nan
tcga_20x_224,kernel_cka,architecture (backbone),nan,6,0,nan,nan
