,trunk.blocks.0,trunk.blocks.1,trunk.blocks.2,trunk.blocks.3,trunk.blocks.4,trunk.blocks.5,trunk.blocks.6,trunk.blocks.7,trunk.blocks.8,trunk.blocks.9,trunk.blocks.10,trunk.blocks.11
blocks.14,0.43270602156493054,0.5849778415303079,0.7178879645408851,0.8443284675253425,0.9074790807181182,0.9530611135119205,0.9628877562741984,0.9717299116751525,0.9719343985210785,0.9664681591215036,0.962970957116178,0.9622555728844504
blocks.15,0.4256509854029193,0.5850352272697007,0.7254928070124622,0.8531528138404064,0.9178089002541614,0.9589177490912594,0.9677032823897945,0.9737422986203553,0.9723065633472531,0.9698666719304759,0.9678370275276114,0.9661184781260985
blocks.16,0.41243724836024753,0.5726687373965307,0.7162125941928827,0.8460936076442236,0.917264514630302,0.9635849326858293,0.9725231659260405,0.9777800287901349,0.9762237136615576,0.9746115512561627,0.9731073853689481,0.9713115985966325
blocks.17,0.43213993991630006,0.5947138037276479,0.733235327803114,0.8575486713502661,0.923703832821179,0.9638498118552065,0.9716189625841853,0.9744916304249253,0.9718177373603138,0.9706691855449305,0.9700627614340676,0.9687157255725136
blocks.18,0.4174607008643347,0.5754434396138083,0.7143759442101286,0.8361855507499268,0.907404089807634,0.9564648550445239,0.9649988487501536,0.9703823859174125,0.9695853086665578,0.9678552801820932,0.9689310531694684,0.9675735863540912
blocks.19,0.3996670742170065,0.553911890038513,0.6886122958100228,0.8092136234506453,0.8841754555201642,0.9404440143333573,0.95028410365192,0.957613963190105,0.9584364230380048,0.955038200231043,0.9567758359957325,0.9561717483546814
blocks.20,0.3987154496573915,0.548988294115251,0.6805082420160543,0.7963134458284059,0.8697365510197133,0.9272142452783956,0.9370350421114809,0.9447779527309073,0.9465067949856745,0.9435416376708691,0.946166276452761,0.9462999154093387
blocks.21,0.3868592790743874,0.5330865508019567,0.6617031324233283,0.7768645199912411,0.8490659651974736,0.9030892713592532,0.9129635732488849,0.9215986655488179,0.9239048097003065,0.9205852614810549,0.9243592798505395,0.9254659461138915
blocks.22,0.36664719646499067,0.5110937889824622,0.6380314199912183,0.7541222838550176,0.8267156444810131,0.8819335678408755,0.8912721858001434,0.8987900424045724,0.9007406016349959,0.8972267419378772,0.9010959661109079,0.9029714441924626
blocks.23,0.3917682614444128,0.5364611721620646,0.6588647889122435,0.7637029697677673,0.8330703039020864,0.887779632744783,0.8979081801929167,0.9081537518832817,0.9114685810539492,0.9081646054243226,0.9109679343622131,0.9113358728476482
