,layers.0.blocks.0,layers.1.blocks.0,layers.2.blocks.0,layers.3.blocks.0,layers.0.blocks.1,layers.1.blocks.1,layers.2.blocks.1,layers.3.blocks.1,layers.2.blocks.2,layers.2.blocks.3,layers.2.blocks.4,layers.2.blocks.5
blocks.12,0.16430625876921306,0.28545866915860196,0.4354073174380489,0.397138261001316,0.18955112200457191,0.3420552307783125,0.37955811360523495,0.2363232518832431,0.36856892298513944,0.3285308642857302,0.3122848272390236,0.263090321358551
blocks.13,0.17540450085712048,0.29109021236549504,0.42986085143439745,0.4050645773877452,0.19921859722435747,0.34491746452110433,0.37573807099019096,0.24604446579123834,0.3650814501048935,0.32588478104162966,0.3115778867056568,0.2642528054240484
blocks.14,0.17438395093043116,0.2921672566709175,0.42944785211983877,0.4065497334656108,0.19872491716141458,0.34572320752320734,0.3760701431384179,0.24586785018684834,0.3650369539354064,0.32579309212619395,0.3123376490914254,0.2654597947009904
blocks.15,0.17395038370235136,0.29203705851282896,0.43054357543116806,0.4103811285795237,0.1975530534149442,0.3456126246684008,0.37568090733830634,0.2511653383870873,0.36529070437377853,0.3269417342469593,0.31294452727904803,0.2661309903546125
blocks.16,0.17077036189234732,0.2929287779886617,0.43531420723424813,0.41399909906498805,0.19491034646486521,0.34813385859882173,0.3802196382363981,0.2505626146915496,0.37008956243636976,0.3318893739365568,0.31772496115316334,0.2698373228087413
blocks.17,0.1779152920036574,0.3003400856086087,0.44356236299692325,0.41796387838366234,0.20188435760035092,0.3545423186779489,0.3871414621037113,0.2524507767911537,0.37723296137650125,0.3385375792804399,0.3240754504562211,0.27645372235681787
blocks.18,0.17407478233743676,0.2976474636739948,0.4368462818212262,0.4205629837449121,0.19783492420990334,0.35201912801726176,0.3817652110011347,0.2549713718530527,0.3716841198986148,0.3339275040088264,0.3202084044088129,0.27292106418456336
blocks.19,0.1654542260244915,0.29190613695020134,0.4331926470723056,0.41698288906782704,0.18974925819334143,0.3475905945181031,0.3790264963170615,0.24925732705780304,0.3682899317386426,0.33055471207843656,0.31682967890307884,0.2695390637017694
blocks.20,0.16553309433159832,0.29051076840010615,0.42914718100675564,0.41646749705757147,0.1896672904635407,0.3450163754263276,0.37625061915914554,0.2490841727311359,0.36563506674769625,0.3283610104374522,0.3153245906674363,0.26914316698606444
blocks.21,0.15959414704861474,0.2818322025365545,0.42075737968115173,0.40721570365189136,0.1831577345734055,0.33584265368428534,0.3684764615817836,0.24372497721202796,0.3580782152339556,0.32151180715890265,0.30822940970591906,0.26255161921237097
blocks.22,0.1490690166345491,0.27005068112946534,0.40973847040436545,0.39415733407479014,0.17257712862787922,0.32401887514215827,0.35821896283249904,0.23420378483385268,0.3478097520110487,0.31206895691930286,0.2985362869046342,0.25327206306241384
blocks.23,0.16488293164898313,0.28238263883639336,0.41005947749104976,0.4130892689580086,0.18670542034798268,0.3328012006205416,0.3611894471827196,0.2515038980582468,0.35292423702181014,0.3184116878664602,0.30712472276228187,0.2644377802655961
