source,target,self,cosine,r2,nmse,retrieval_recall@1,retrieval_recall@5,retrieval_recall@10,retrieval_map,retrieval_mrr,retrieval_median_rank,retrieval_ndcg,retrieval_n_query,retrieval_n_database
uni_v2,conch_v1,False,0.878325202531529,0.6290937303776142,0.3709062696223858,0.4344,0.726,0.821,0.565966010064539,0.565966010064539,2.0,0.6590055281205689,5000.0,5000.0
uni_v2,ctranspath,False,0.9163263073820436,0.5836275436739119,0.4163724563260881,0.6218,0.8622,0.9206,0.7286590024931063,0.7286590024931063,1.0,0.789700154069501,5000.0,5000.0
uni_v2,gigapath,False,0.7035282361931559,0.37102047947391703,0.628979520526083,0.3314,0.5932,0.7008,0.45389384310301084,0.45389384310301084,3.0,0.5635259779981586,5000.0,5000.0
uni_v2,keep,False,0.8041701347360897,0.46711087441012833,0.5328891255898717,0.3406,0.6352,0.7442,0.4745341006649131,0.4745341006649131,3.0,0.5832477853235659,5000.0,5000.0
uni_v2,resnet50,False,0.9601705589890787,0.5707515752281731,0.42924842477182684,0.284,0.5528,0.6714,0.40845876600056075,0.40845876600056075,4.0,0.5267842070973602,5000.0,5000.0
conch_v1,conch_v1,True,0.98637935380549,0.9568255741425009,0.04317442585749904,0.9996,1.0,1.0,0.9997666666666668,0.9997666666666668,1.0,0.9998261859507144,5000.0,5000.0
ctranspath,ctranspath,True,0.9627120354686857,0.8111417805842784,0.1888582194157216,0.986,0.9968,0.9992,0.9911894238816737,0.9911894238816737,1.0,0.9933187705427666,5000.0,5000.0
gigapath,gigapath,True,0.7745737003201264,0.5101759232703533,0.48982407672964673,0.719,0.8918,0.9332,0.7947510932223925,0.7947510932223925,1.0,0.8401520613910023,5000.0,5000.0
keep,keep,True,0.9237537941671304,0.7831436922082755,0.21685630779172455,0.9982,1.0,1.0,0.9990399999999999,0.9990399999999999,1.0,0.9992868581671613,5000.0,5000.0
resnet50,resnet50,True,0.987012392640926,0.862172621558611,0.1378273784413891,0.9792,0.997,0.998,0.9862727535105168,0.9862727535105168,1.0,0.9895705628584749,5000.0,5000.0
uni_v2,uni_v2,True,0.7651426164286437,0.5139550272749647,0.4860449727250353,0.6232,0.8628,0.9206,0.7279317087685379,0.7279317087685379,1.0,0.7890970473780812,5000.0,5000.0
