encoder,layer,depth,cka_to_first_block,width
gigapath,blocks.3,0.07692307692307693,0.7193545656644449,1536
gigapath,blocks.4,0.10256410256410256,0.7127393564008148,1536
gigapath,blocks.5,0.1282051282051282,0.6904946388662158,1536
gigapath,blocks.6,0.15384615384615385,0.663942948102506,1536
gigapath,blocks.7,0.1794871794871795,0.608295860654421,1536
gigapath,blocks.8,0.20512820512820512,0.5645140737562736,1536
gigapath,blocks.9,0.23076923076923078,0.5159234606276648,1536
gigapath,blocks.10,0.2564102564102564,0.46980168878170786,1536
gigapath,blocks.11,0.28205128205128205,0.42919195600318516,1536
gigapath,blocks.12,0.3076923076923077,0.3893447758240422,1536
gigapath,blocks.13,0.3333333333333333,0.348650096587639,1536
gigapath,blocks.14,0.358974358974359,0.3111835246108235,1536
gigapath,blocks.15,0.38461538461538464,0.2819774364529266,1536
gigapath,blocks.16,0.41025641025641024,0.25054215831288845,1536
gigapath,blocks.17,0.4358974358974359,0.23264030735494926,1536
gigapath,blocks.18,0.46153846153846156,0.2168912877853672,1536
gigapath,blocks.19,0.48717948717948717,0.20340094113717472,1536
gigapath,blocks.20,0.5128205128205128,0.19249062016162566,1536
gigapath,blocks.21,0.5384615384615384,0.18700967969571677,1536
gigapath,blocks.22,0.5641025641025641,0.1748368939889544,1536
gigapath,blocks.23,0.5897435897435898,0.16422635335448443,1536
gigapath,blocks.24,0.6153846153846154,0.16102683026982526,1536
gigapath,blocks.25,0.6410256410256411,0.15924362089511535,1536
gigapath,blocks.26,0.6666666666666666,0.1578644029935215,1536
gigapath,blocks.27,0.6923076923076923,0.15768160589684593,1536
gigapath,blocks.28,0.717948717948718,0.15881803953109327,1536
gigapath,blocks.29,0.7435897435897436,0.16113003629429265,1536
gigapath,blocks.30,0.7692307692307693,0.16218176139451684,1536
gigapath,blocks.31,0.7948717948717948,0.16335472236109772,1536
gigapath,blocks.32,0.8205128205128205,0.16910406764255706,1536
gigapath,blocks.33,0.8461538461538461,0.16918176084162745,1536
gigapath,blocks.34,0.8717948717948718,0.17141424446270812,1536
gigapath,blocks.35,0.8974358974358975,0.17403880512574058,1536
gigapath,blocks.36,0.9230769230769231,0.17497446785737147,1536
gigapath,blocks.37,0.9487179487179487,0.17210800836298934,1536
gigapath,blocks.38,0.9743589743589743,0.16773297812843668,1536
gigapath,blocks.39,1.0,0.16752216501115713,1536
resnet50,layer1,0.0,1.0,256
resnet50,layer2,0.5,0.9645466022818048,512
resnet50,layer3,1.0,0.8718355015178437,1024
