magnification,metric,model_a,model_b,pair,similarity
10.0,procrustes,CTransPath,ResNet50 (ImageNet),CTransPath~ResNet50 (ImageNet),0.6974716523787142
10.0,procrustes,CTransPath,UNI2-h,CTransPath~UNI2-h,0.6334725605318828
10.0,procrustes,Prov-GigaPath,KEEP,Prov-GigaPath~KEEP,0.5912149758049384
10.0,procrustes,Prov-GigaPath,ResNet50 (ImageNet),Prov-GigaPath~ResNet50 (ImageNet),0.5371802790048356
10.0,procrustes,Prov-GigaPath,UNI2-h,Prov-GigaPath~UNI2-h,0.6974462228885991
10.0,procrustes,KEEP,ResNet50 (ImageNet),KEEP~ResNet50 (ImageNet),0.523025758869455
10.0,procrustes,KEEP,UNI2-h,KEEP~UNI2-h,0.6299856527807006
10.0,procrustes,ResNet50 (ImageNet),UNI2-h,ResNet50 (ImageNet)~UNI2-h,0.5171569248127136
10.0,cosine_rsa,CTransPath,Prov-GigaPath,CTransPath~Prov-GigaPath,0.6024907065620829
10.0,cosine_rsa,CTransPath,KEEP,CTransPath~KEEP,0.5306779114164402
10.0,cosine_rsa,CTransPath,ResNet50 (ImageNet),CTransPath~ResNet50 (ImageNet),0.6520487592818055
10.0,cosine_rsa,CTransPath,UNI2-h,CTransPath~UNI2-h,0.5844867507801388
10.0,cosine_rsa,Prov-GigaPath,KEEP,Prov-GigaPath~KEEP,0.5166031921495685
10.0,cosine_rsa,Prov-GigaPath,ResNet50 (ImageNet),Prov-GigaPath~ResNet50 (ImageNet),0.4097100572347248
10.0,cosine_rsa,Prov-GigaPath,UNI2-h,Prov-GigaPath~UNI2-h,0.685121022272137
10.0,cosine_rsa,KEEP,ResNet50 (ImageNet),KEEP~ResNet50 (ImageNet),0.38587333317316724
10.0,cosine_rsa,KEEP,UNI2-h,KEEP~UNI2-h,0.691059650492004
10.0,cosine_rsa,ResNet50 (ImageNet),UNI2-h,ResNet50 (ImageNet)~UNI2-h,0.35006687705222106
10.0,distance_correlation,CTransPath,Prov-GigaPath,CTransPath~Prov-GigaPath,0.834136856005019
10.0,distance_correlation,CTransPath,KEEP,CTransPath~KEEP,0.7781751792862951
10.0,distance_correlation,CTransPath,ResNet50 (ImageNet),CTransPath~ResNet50 (ImageNet),0.8131583732524219
10.0,distance_correlation,CTransPath,UNI2-h,CTransPath~UNI2-h,0.81933339685375
10.0,distance_correlation,Prov-GigaPath,KEEP,Prov-GigaPath~KEEP,0.7767334173884581
10.0,distance_correlation,Prov-GigaPath,ResNet50 (ImageNet),Prov-GigaPath~ResNet50 (ImageNet),0.6966808031969175
