encoder,layer,depth,cka_to_first_block,width
ctranspath,layers.2.blocks.1,0.5454545454545454,0.9493123848390249,384
ctranspath,layers.3.blocks.1,0.6363636363636364,0.6692592593656876,768
ctranspath,layers.2.blocks.2,0.7272727272727273,0.9447448316122232,384
ctranspath,layers.2.blocks.3,0.8181818181818182,0.9385350575498664,384
ctranspath,layers.2.blocks.4,0.9090909090909091,0.929241244526071,384
ctranspath,layers.2.blocks.5,1.0,0.9210149647378693,384
gigapath,blocks.0,0.0,1.0,1536
gigapath,blocks.1,0.02564102564102564,0.9971928727793545,1536
gigapath,blocks.2,0.05128205128205128,0.8687242010910501,1536
gigapath,blocks.3,0.07692307692307693,0.8895884285287453,1536
gigapath,blocks.4,0.10256410256410256,0.8906401832381614,1536
gigapath,blocks.5,0.1282051282051282,0.8907619877558958,1536
gigapath,blocks.6,0.15384615384615385,0.8907869805380861,1536
gigapath,blocks.7,0.1794871794871795,0.8910203543746382,1536
gigapath,blocks.8,0.20512820512820512,0.8909920748110259,1536
gigapath,blocks.9,0.23076923076923078,0.8911712696398368,1536
gigapath,blocks.10,0.2564102564102564,0.8914267324899923,1536
gigapath,blocks.11,0.28205128205128205,0.8915458823409851,1536
gigapath,blocks.12,0.3076923076923077,0.891665657306324,1536
gigapath,blocks.13,0.3333333333333333,0.8915434899920041,1536
gigapath,blocks.14,0.358974358974359,0.8919134056580773,1536
gigapath,blocks.15,0.38461538461538464,0.8921522940776314,1536
gigapath,blocks.16,0.41025641025641024,0.8925383550786492,1536
gigapath,blocks.17,0.4358974358974359,0.892367149383381,1536
gigapath,blocks.18,0.46153846153846156,0.892883290095686,1536
gigapath,blocks.19,0.48717948717948717,0.8929770237327611,1536
gigapath,blocks.20,0.5128205128205128,0.8929305508627807,1536
gigapath,blocks.21,0.5384615384615384,0.8936960883919274,1536
gigapath,blocks.22,0.5641025641025641,0.8941409749677351,1536
gigapath,blocks.23,0.5897435897435898,0.8942820952422008,1536
gigapath,blocks.24,0.6153846153846154,0.893358172085734,1536
gigapath,blocks.25,0.6410256410256411,0.8927292789355676,1536
gigapath,blocks.26,0.6666666666666666,0.8898939720939849,1536
gigapath,blocks.27,0.6923076923076923,0.8886056266731871,1536
gigapath,blocks.28,0.717948717948718,0.8867674548195981,1536
gigapath,blocks.29,0.7435897435897436,0.8827488476645535,1536
gigapath,blocks.30,0.7692307692307693,0.8777462813124363,1536
gigapath,blocks.31,0.7948717948717948,0.8732115977950495,1536
gigapath,blocks.32,0.8205128205128205,0.8677500497092249,1536
gigapath,blocks.33,0.8461538461538461,0.8604610607323746,1536
gigapath,blocks.34,0.8717948717948718,0.8508204290876429,1536
gigapath,blocks.35,0.8974358974358975,0.839928343645621,1536
gigapath,blocks.36,0.9230769230769231,0.8277217788901684,1536
gigapath,blocks.37,0.9487179487179487,0.8102751773250971,1536
gigapath,blocks.38,0.9743589743589743,0.7982043977997755,1536
gigapath,blocks.39,1.0,0.7797870841304455,1536
resnet50,layer1,0.0,1.0,256
resnet50,layer2,0.5,0.9645466022818048,512
resnet50,layer3,1.0,0.8718355015178437,1024
